name,Location,Date,Fatalities,Regugees,Narrative/Notes,Source,Overflow,lon,lat
Butler farmers riot,"Poplar Bluff, Missouri
",12-Jan-1943,"0",Unknown,Farmers indicted for raising a riot against 'imported' Negro farm labourers,https://goo.gl/mtLAOS,,-90.3957115,36.7568327
Hempstead army riot,"Hempstead, New York",9-May-1942,"0",Unknown,Local police trigger violence by attacking black soldier,https://goo.gl/lJvr5y,,-73.618684,40.7063185
Alexandria Army Race Riot,"Alexandria, Louisiana",10-Jan-1942,Unknown,Unknown,"""The rest of the country might be fighting World War II [...] but this little prejudice-ridden town, dipped in the dye of the Old South is still fighting the Civil War.""",https://goo.gl/xI0F7J,,-92.4449087,31.311248
Shelton Intimidations,"Shelton, Nebraska",15-Jul-1940,"0",Unknown,"African American workers who were brought to Shelton to work on a potato farm were threatened by local whites. A large mob gathered at their camp site. The African Americans fled ""into the darkness""","https://news.google.com/newspapers?nid=2199&dat=19400715&id=AChdAAAAIBAJ&sjid=2VoNAAAAIBAJ&pg=2711,868061&hl=en",,-98.7341271,40.7806605
Greenville Klan Violence,"Greenville County, South Carolina",15-Sep-1939,Unknown,Unknown,"Following a successful voter registration drive led by the Greenville NAACP, members of the Ku Klux Klan and law enforcement officers, many of whom were Klan members themselves, conducted a violent campaign of repression to maintain white supremacy. On September 24, in Fountain Inn, ten to fifteen carloads of heavily armed and robed Klansmen ransacked businesses and beat over twenty African Americans.  In nearby Simpsonville, a number of black men were beaten by Klansmen and a black woman was stripped of her clothes.  In early November, Klansmen pulled a black World War I veteran from his home, and for publicly criticizing the Klan, stripped him naked, lashed him mercilessly, and dumped his limp body on the front steps of the home of Joe Tolbert, the most prominent white Republican official in South Carolina. The leader of the voter registration drive, James Briar, barely escaped being victimized due to quick thinking by local blacks in Greenville who shuffled him from house to house throughout the week of November 15th.","Peter Lau, Democracy Rising: South Carolina and the Fight for Black Equality since 1865 (Lexington: University of Kentucky Press, 2006), 58-59.",,-82.3356457,34.8550021
Barnesville disturbances,"Barnesville, Georgia",17-Oct-1899,"0",Unknown,"""Whitecaps harass Negroes"": African American seek refuge in Barnesville after attacks by whitecaps",http://goo.gl/VnXxLE,,-84.1557496,33.0545709
Waterloo whippings,"Waterloo, South Carolina",13-Oct-1899,"0",Unknown,Reference to the whipping of an African American by a group of white men in the town (Whitecaps) AA community incensed.,http://nwspprs.com/1hofy,,-82.0592766,34.3515126
Decatur whippings,"Decatur, Georgia",3-Sep-1899,"0",Unknown,"Campaign of terror by Whitecaps. ""Frequent whippings of inoffensive negroes..taken from the homes at night""",http://nwspprs.com/1hoeg,,-84.296069,33.7737582
Greenwood whippings,"Greenwood, South Carolina",24-Aug-1899,"0",Unknown,"Campaign of terror by Whitecaps. Whippings, beatings and rapes committed by small groups of white men. African American victims were ordered to leave the area. 4 white men indicted. Unclear if they were convicted.",http://nwspprs.com/1hn02,,-82.1617883,34.1954001
Colquitt whippings,"Colquitt, Georgia",22-Aug-1899,"0",Unknown,"A posse attached to Sheriff Lynch whip, imprison (and/or) torture African Americans to get information about a possible murder suspect",http://nwspprs.com/1hoen,,-84.7336278,31.1712947
Enid race riot,"Enid, Oklahoma",29-May-1899,"0",Unknown,"Details are unclear. Riot between white and black mentioned in May 1899, investigation ordered but nothing further available. Black population plummeted in the following decades.",http://goo.gl/fL6c3N,,-97.8791341,36.3967623
Griffin whippings,"Griffin, Georgia",25-May-1899,"0","3","""Whitecaps whipped three negroes with buggy traces...the negroes had been ordered to leave town but refused to go."" The Sun newspaper reported that they worked at the Kincaid mills and had done nothing to warrant such an attack.",http://nwspprs.com/1hoet,,-84.2640904,33.2467807
Camp Creek murder,"Fayetteville, Georgia",23-May-1899,"1",Unknown,"A group of Whitecaps murdered Tom Linton, an African American, at his home in Camp Creek. This knocked his door in with an axe and shot him to death. Whitecaps had whipped ""several negroes"" in the vicinity and it is believed that Tom defended himself.",http://nwspprs.com/1hofg,,-84.4549262,33.4487257
Cordova Pogrom,"Cordova, Walker County, Alabama",20-May-1899,N/A,N/A,African Americans were threatened with death unless they left.,http://chroniclingamerica.loc.gov/lccn/sn83030272/1899-05-21/ed-1/seq-1/#date1=1836&index=2&rows=20&words=Negroes+Out+Ran+Town&searchType=basic&sequence=0&state=&date2=1922&proxtext=%22negroes+ran+out+of+town%22&y=0&x=0&dateFilterType=yearRange&page=1,,-87.1833349,33.7598291
Pana Riots,"Pana, Illinois",10-Apr-1899,"7",Unknown,Dispute between white and black miners,http://goo.gl/j5ht8V,,-89.0800809,39.3889311
Lynchburg murders,"Lynchburg, Tennessee",26-Jan-1899,"2",Unknown,"Murder by Whitecaps. Two African Americans, who were whipped and force to leave their homes, returned only to be murdered by the same group.",http://nwspprs.com/1hohi,,-86.3739827,35.2831727
Commerce exodus,"Greenville, Tennessee",25-Jan-1899,"0",100+,Whitecaps whipped and beat up four African Americans and ordered them to leave the town. Close to 100 reported to have left afterwards. Can't find the town Commerce on map?,http://nwspprs.com/1hop8,,-86.8883332,36.2969971
Dallas riots,"Dallas, Texas",31-Dec-1898,"5",unknown,Five were seriously wounded. No other details to date.,http://goo.gl/IsLDHC,,-96.7968559,32.7762719
Phoenix Election Riot,"Phoenix, South Carolina",8-Nov-1898,"10",unknown,"""On November 9, 1898 four Negroes were lynched in front of a crowd of 500 white men for their involvement in the riot. After the lynching a group of 50 armed white men came together to seek vengeance on the blacks and the Tolbert family. On November 10, 1898 two more blacks were brutally killed in public.""",https://goo.gl/7rExHt,,-82.1109542,34.0773472
Wilmington Riot,"Wilmington, North Carolina",11-Oct-1898,15-60+,200+,Suspected that hundreds may have been killed.,http://goo.gl/HDx8cP,,-77.9447107,34.2257282
Titus County pogrom,"Titus County, Texas",9-Sep-1898,Unknown,"1,000+",Thousands of African Americans flee whitecaps (who are hunting them from the cotton fields) and many take refuge in the town of Texarkana. Titus County reportedly lost its entire African American population.,https://goo.gl/nfUJ2V,,-94.9651725,33.2040399
Lynching of Frazier Baker,"Lake City, South Carolina",22-Feb-1898,"2","6","Shortly before one o’clock on the morning of February 22, 1898, Frazier Baker, an African-American postmaster in the predominantly white hamlet of Lake City, South Carolina, awoke to discover a raging fire deliberately set in back of the small wooden structure that housed both his family and the town’s post office.  Caught between the rising flames and a group of hostile and well-armed white men outside the building, Baker, his wife, and their six children sought unsuccessfully to douse the blaze.  As they prepared to flee the post office, the mob opened fire.  The postmaster was shot several times and collapsed, fatally wounded.  The barrage of gunfire continued unabated, and the three eldest Baker children were all seriously injured before they could escape through the open door into the night.  Baker’s wife Lavinia attempted to follow with her infant daughter Julia, but a bullet passed through her hand, killing the baby and tearing her from her mother’s arms.  Struck in the leg by a second bullet, Lavinia Baker collapsed beside the burning building.  The mob then dispersed as quietly as it had appeared.  As flames consumed the wooden structure, local African Americans drawn by the gunfire offered sanctuary in their homes to the new widow and her five surviving children. National protests, led by anti-lynching crusader Ida B. Wells and George White, the last remaining Black Reconstruction-era Congressman, forced the federal government to investigate.  Thirteen men were arraigned and charged with conspiracy to violate Baker’s civil rights under the Enforcement Acts. Local whites, however, obstructed justice through perjury and appeals to the racial sensibilities of jurors. The result was a mistrial.
",,,-79.7553452,33.8709959
Lake City Riot,"Lake City, South Carolina",22-Feb-1898,"2",remaining family,Black postmaster and infant daughter killed by white mob.,http://goo.gl/BZFXrt,,-79.7553452,33.8709959
Riverton Pogrom,"Riverton, Alabama",21-Jul-1897,N/A,N/A,http://nwspprs.com/27qc4,,,-88.076704,34.8806434
Rock Springs whippings,"Rock Springs, Kentucky",9-Mar-1897,"0",3+,"Three African American were whipped and shot. They managed to survive and reach the town of Sturgis. The African American population at Rock Springs were ordered to leave by white mobs, but had ignored their threats.",http://nwspprs.com/1j9be,,-84.0921535,38.7675704
Mayfield Race War,"Mayfield, Kentucky",23-Dec-1896,"3",Unknown,Panic after rumours of revenge after lynching.  4 homes burnt down,http://nkaa.uky.edu/record.php?note_id=1558,,-88.6352595,36.7413624
Altoona Shootings,"Little White Oak Creek, Kentucky",17-Nov-1896,50+?,Unknown,"Nine African Americans working at the Standard Oil Company were shot by a mob of 50 white men. Others took refuge in a house but the mob set it on fire. The foreman pleaded with them, and so all the African American were given 25 minutes to leave the site. No one was arrested. The report finishes with ""Not a negro can be found for miles around today.""",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=SFC18961118.2.34&srpos=32&e=-------en--20--21-byDA-txt-txIN-%22Negroes+ran%22------#,,-84.7611088,37.0709538
Jasper riot,"Jasper, Florida",26-Jul-1896,"6","8",Whites 'intrude' on festival,http://goo.gl/o8NQ6p,,-82.94819,30.5182727
St. Landry riot,"St. Landry Parish, Louisiana",7-Apr-1896,2+,Unknown,"African Americans who were trying to register to vote were attacked. Two were shot dead by white supremacists, others were whipped and intimidated.",http://nwspprs.com/1kbgs,,-92.0035057,30.6174002
Marshall County whippings,"Marshall County, Tennessee",21-Dec-1895,"0",Unknown,15 masked Whitecaps whipped one African American on a plantation and warned the rest to leave the area.,http://nwspprs.com/1iyhm,,-86.7711675,35.4814932
Church Attack in Taylor County,"Taylor County, Florida",22-Jul-1895,"0",Unknown,"""The Rev. W. D. Gillislee reports a reign of terror among the negroes of Lafayette and Taylor counties. He says their churches are being raided by white men, congregations dispersed and pastors driven away. Mr. Gillislee is the presiding elder of the Live Oak district of the Florida conference of the A. M. E. church. The counties mentioned are in his district, and he has recently returned from an attempt to fill his appointments. He was roughly treated. He says he was preaching in Lafayette County to a large congregation when a crowd of armed white men came into the church and stationed themselves near the pulpit. The leader asked Mr. Gillislee:

""How long do you expect to remain in this county and live?""

Then the whites began to shoot, and Mr. Gillislee and the congregation ran out in a panic. Mr. Gillislee went to Branford, ten miles away, in Suane County. He made the trip in an hour. He then went to Taylor County, adjoining Lafayette on the west, but was again driven out. While preaching at night twenty white men came in and stationed themselves about the pulpit. Gillislee was greatly scared, but kept on preaching. Finally he said, ""Sinners, you must be, born again or go to perdition."" As he said that there was a howl from the white men and the mob shot out the lights. Mr. Gillislee and the negroes ran out, many being trampled upon.""",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=SFC18950723.2.15&srpos=31&e=-------en--20--21-byDA-txt-txIN-%22Negroes+ran%22------#,,-83.6377926,30.0926733
Dockworker Riot,"New Orleans, Louisiana",11-Mar-1895,"6",unknown,Triggered by white laborers angered at the fact that black laborers were competing for dock loading jobs,http://goo.gl/YGoLkU,,-90.0701156,29.9499323
Spring Valley pogrom,"Spring Valley, Illinois",9-Feb-1895,Unknown,100+,"One man was indicted for ""giving aid and encouragement to the recent mob that drove the colored people out of the city."" No indication of exact numbers, but evidently it was many.",http://goo.gl/YSVL5r,,-89.1998078,41.3275353
Brantley whippings,"Brantley, Alabama",2-Mar-1894,3+,unknown,Campaign of terror by Whitecaps. Notice posted on African American church at Brantley ordering all to leave the county or else suffer a lynching. Reports of two AAs whipped to death.,http://nwspprs.com/1hufa,,-86.2571786,31.5823832
Assault by Lemont Strikers,"Lemont, Illinois",6-Nov-1893,"0",Unknown,"White strikers attacked a group of African Americans, beating them and tearing off their clothes.",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=SDU18930612.2.8&srpos=28&e=-------en--20--21-byDA-txt-txIN-%22Negroes+ran%22------#,,-88.0016263,41.6737149
Homestead Strike Riot,"Homestead, Pennsylvania",13-Nov-1892,Unknown,unknown,"Striking Homestead workers attack nonunion black strikebreakers inside plant; spreads as 2000 strong white mob attack fifty+ black Homestead families in town, looting and destroying property",https://goo.gl/qYeE7e,,-79.9119948,40.4059025
The People's Grocery Store Lynching & Mass Exodus,"Walker Avenue, Memphis, Tennesse",3-Sep-1892,3+,"6,000+","""After Thomas Moss, Calvin McDowell, and Will Stewart, all African-Americans and co-owners of People's Grocery, were lynched by a white mob on March 9, 1892, thousands of Black people fled Memphis.  Moss' dying words were, ""Tell my people to go west -- there is no justice for them here.""  According to anti-lynching Ida B. Wells in her speech ""Lynch Law in All Its Phases"":

""It was our first object lesson in the doctrine of white supremacy; an illustration of the South's cardinal principle no matter what the attainments, character or standing of an Afro-American, the laws of the South will not protect him against a white man. There was only one thing we could do, and a great determination seized the people to follow the advice of the martyred Moss, and ""turn our faces to the West,"" whose laws protect all alike. The Free Speech supported ministers and leading business men advised the people to leave a community whose laws did not protect them. Hundreds left on foot to walk four hundred miles between Memphis and Oklahoma. A Baptist minister went to the territory, built a church, and took his entire congregation out in less than a month. Another minister sold his church and took his flock to California, and still another has settled in Kansas. In two months, six thousand persons had left the city and every branch of business began to feel this silent resentment of the outrage, and failure of the authorities to punish lynchers. There were a number of business failures and blocks of houses for rent.""",http://historic-memphis.com/biographies/peoples-grocery/peoples-grocery.html,,,
Livingston whipping,"Livingston County, Kentucky",25-Apr-1892,"0",Unknown,"A group of Whitecaps or KKK kidnapped an African American named Boyd and brought him into the woods, beat him up and whipped him. Motivation? They wanted to ""whip a nigger""",http://nwspprs.com/1omtv,,-88.3343825,37.1898627
Attala whippings,"Attala County, Mississippi",22-Nov-1891,"1",Unknown,"A ""crowd of whites"" murdered an African American at his home and ""severely whipped several others""",http://nwspprs.com/1j989,,-89.5680661,33.0777868
Franklin Mine Attack,"Franklin, Seattle, Washington",29-Jun-1891,Unknown,Unknown,"African Americans, unwittingly used as strikebreakers, are attacked by white mob.

",http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=SFC18910630.2.132&srpos=27&e=-------en--20--21-byDA-txt-txIN-%22Negroes+ran%22------#,,-122.3300624,47.6038321
Phosphate Island riot,"Charleston, Carolina",5-Dec-1890,Unknown,Unknown,Unclear account,http://goo.gl/Tu1WVW,,-79.9402728,32.7876012
Baton Rouge whippings,"Baton Rouge, Louisiana",21-Nov-1890,"0",Unknown,"""Several negroes were whipped"" to prevent them from renting land in the area",http://nwspprs.com/1iygo,,-91.18738,30.4459596
Amite whippings,"Amite City, Louisiana",28-Jun-1890,"1",5+,200 armed and masked men on horseback (KKK) killed George Howard and whipped 4 other African Americans,http://nwspprs.com/1iyg0,,-90.5089815,30.7265747
Corydon whippings,"Corydon, Indiana",28-May-1890,"0",2+,"Two African American women were kidnapped from their beds by a group of 25 KKK members on horseback. They were whipped severely and ordered to leave town. ""The screams of the women were heard, but the [white] people thought it was a negro fight, and paid but little attention to it."" Other reports describe how they were tied to trees and whipped fifty times with a heavy hickory switch. when they were found they were insensible and ""more dead than alive"". This attack was followed by the whipping of Walter Rowe and his wife. Rowe was an African American and a respected farmer in the area.",http://nwspprs.com/1oo9h,,-86.125386,38.2129325
Jessup killings,"Jessup, Georgia",28-Dec-1889,4+,Unknown,"Murder of African American prisoners in cold blood and mass whippings followed a race riot which had started due to local Marshal killing an African American ""while making an arrest""",http://nwspprs.com/1j96x,,-83.547966,32.837885
Lawrenceville riot,"Lawrenceville, Illinois",15-Sep-1889,2+,Unknown,"A riot between the two groups led to a pogrom; ""Many negroes have left the town...it is possible that if any negroes are caught that took part in the riot they will be lynched.""",http://nwspprs.com/18djr,,-87.6816927,38.7292138
East Point mass whippings,"East Point, Georgia",5-Sep-1889,"0",Unknown,Fourteen African Americans were whipped by a group of Whitecaps or the KKK.,http://nwspprs.com/1hor1,,-84.4393724,33.6795531
Gretna race riot,"Gretna, Louisiana",1-Sep-1889,1+,Unknown,"Report bottom of page 2, col 4.",http://goo.gl/E8sMfh,,-90.0539604,29.9146493
Missouri riot,Missouri,15-Feb-1889,"6",Unknown,"""A race riot broke out in Missouri between the blacks and the whites. At the beginning of the riot six white constables  were killed, and five others wounded. The whites immediately rose in arms and drove the negroes into the swamps.""",http://goo.gl/M3fWTG,,-92.5617875,38.7604815
New Iberia whippings,"New Iberia, Louisiana",31-Jan-1889,"0",3+,Three African American were whipped and ordered to leave town. One of the victims was 70 years old.,http://nwspprs.com/1hq0k,,-91.8187285,30.0035365
Crittenden County Coup D'Etat,"Crittenden County, Arkansas",7-Dec-1888,unknown,Unknown,"In Crittenden County, Arkansas, Reconstruction ended when racist white Democrats in Marion forcibly expelled African American elected officials (County Judge Daniel Lewis, County Clerk David Ferguson, County Assessor J.R. Rooks and Arkansas State Representative Sandy S. Odom) at gunpoint of 50 Winchester rifles on July 12,1888.  It was called ""The Revolution of 1888.""  The group of white who forced them to leave stated:

""God damn you, you‘ve got to leave this county, this is a white man‘s government, and we are tired of negro dominance; we have been planning this for the past two years, and not more Negroes or Republicans shall hold office in this county.""

At that time (in 1888), Republicans were the party of Lincoln and Democrats were the party of white supremacy, redemption from ""Negro Rule"", the Ku Klux Klan, and the White League, the Rifle Clubs, Red Shirts, or Knights of the White Camellia (other white supremacist groups).

When whites in Marion expelled Black leaders at gunpoint, it was right before the fall elections, so this resulted in the complete loss of Black political power and the complete rise of white power.  Not only were Black elected officials expelled at gunpoint, but so were prominent Black citizens. After this was complete, white Democrats passed the Election Law of 1891, a poll tax, secret ballots, and eventually the all-white primary (in 1905) which helped nullify the voting power of the super Black majority in Crittenden County.

This is how Black political power and representation was destroyed after Reconstruction in Crittenden County. It is clear from the historical record that Black people in Crittenden County did have political power, but through, terrorism, and taking the law into their hands, white people in Crittenden County stole African American's birthright. Legacy of 127 years.",https://books.google.ie/books/about/It_was_Awful_But_it_was_Politics.html?id=saBQngEACAAJ&redir_esc=y,,-90.3192299,35.2505701
Lawrence/Pike whippings,"Brookhaven, Mississippi",7-Oct-1887,"0",Unknown,"""Several negroes whipped by whites"" and ordered to leave the county. Occurred near county line diviidng Lawrence and Pike.",http://nwspprs.com/1j9na,,-90.4406506,31.5790588
Union City whippings,"Union City, Tennessee",19-Feb-1887,"0",unknown,A white mob comprised of 25 masked men whipped four African Americans (3 men and a woman) as part of a terror campaign,http://nwspprs.com/1jbje,,-89.0570096,36.4242303
Thiboudaux Massacre,"Thiboudaux, Louisiana",11-Jan-1887,35-300,Unknown,"""Although the number of casualties is unknown, at least 35 and as many as three hundred workers were killed, making it one of the most violent labour disputes in U.S. history. All of the victims were African American.""",https://goo.gl/qFzkil,,-92.0004,31.00047
Comanche County Pogrom,"Comanche County, Texas",31-Jul-1886,N/A,32+,http://chroniclingamerica.loc.gov/lccn/sn87060189/1886-07-31/ed-1/seq-1/#date1=1836&index=4&rows=20&words=allowed+negroes+No&searchType=basic&sequence=0&state=&date2=1922&proxtext=%22no+negroes+allowed%22&y=0&x=0&dateFilterType=yearRange&page=1,,,-98.527388,31.9130171
Carrollton Massacre,"Carrollton, Mississippi",17-Mar-1886,"20",unknown,Triggered by trial--100 to 150 armed men enter courthouse and massacre blacks,http://goo.gl/TmkefZ,,-89.9203608,33.5081773
Danville Riot,"Danivlle, Virginia",3-Nov-1883,"7",unknown,"Political Violence: "" A crowd of black men soon congregated outside which inevitably resulted in an altercation. After the meeting an African American shoved one of the members and tempers quickly escalated. Even though the man apologized, many white men had already drawn pistols. A scuffle ensued resulting in seven black men dead and two whites injured (NY Times, 11/5/1883, 1). The military arrived shortly there after and the crowd dispersed. Much damage had been done, but many of the effects of the riot were not apparent until after the elections. Whites patrolled the streets after the riot with shotguns in an attempt to keep fear and submission in the hearts of African-Americans. The propaganda proved effective when the polls were tallied as 31 of the 1,300 blacks registered to vote submitted ballots (Ayers/Willis, 142). The result was a landslide victory for the Democratic Party. This event also marked the end of the Readjuster era.""",http://goo.gl/PbZHq8,,-79.367896,36.701282
Howard County race riot,"Center Point, Howard County, Arkansas",3-Aug-1883,Unknown,Unknown,http://www.jstor.org/stable/40023190,,,-93.9476887,34.0265019
Madison whippings,"Madison parish, Louisiana",3-Apr-1880,"0",Part of a mass exodus (thousands),"During the election of 1879 armed groups of white men rode through Madison parish on horses ""whipping and intimidating negroes"". Many African Americans fled the area. This was part of a much larger exodus of African Americans at this time. See ""Exodus to Kansas: The 1880 Senate Investigation of the Beginnings of the African American Migration from the South"" on the National Archives website.",http://nwspprs.com/1j94i,,-91.255051,32.3614697
Tensas Massacre,"Tensas Parish, Louisiana ",11-Jan-1878,75+,Unknown (population,"""Within a few days of the attack at Fairfax’s house,at least 500 armed outsiders from at least eight surrounding counties descended on Tensas Parish
and began to roam through the countryside, even spilling over into neighboring Concordia
Parish, all the while hunting for particular neighborhood leaders and other black men. It was a
dry time of year (October), so whenever the mounted parties took off for one particular
plantation or neighborhood, the people could see, recalled one white cotton planter, “the dust
curled up from the road … over the tops of the trees.”30 Seeing the clouds of dust billow up in
the distance, black men fled to the woods.31 Over the next two weeks before the election, work
in the fields effectively came to a halt as dozens of men (and sometimes women and children)
took refuge in the thickly forested regions of the parish, returning to their homes only at night.32
One black political organizer recalled that the woods were so filled with men that it seemed “as
if a lot of sheep was running through the bushes.”33 Local blacks fled to the woods not to
organize or to reestablish community, but to find a sanctuary from the violence that claimed at
least forty and as many as seventy-five lives.",http://www.yale.edu/glc/emancipation/behrend.pdf,,-91.3708695,31.9834216
Cainhoy Riots,"Cainhoy, South Carolina",16-Oct-1876,6+,unknown,"On October 16, 1876 a joint political meeting took place near Cainhoy, South Carolina, a small town located approximately nine miles northeast of Charleston.  A group of about one-hundred and fifty Democrats traveled to the site by steamboat and met their political opponents at “Brick Church.”  The leadership from both sides had agreed beforehand that participants would not bear arms at the meeting, but many of the Republicans, mindful of the sort of violence that had occurred previously in places like Hamburg, arrived to the meeting with their personal firearms.  When their leadership informed them that they were breaking protocol by carrying these weapons they stowed them nearby, some in a dilapidated vestry building on the premises and others in a stand of woods.

The meeting commenced with a speech from the Democratic candidate for prosecuting attorney of the circuit, who was followed by W.J. McKinlay, a prominent Republican politician.  Shortly after McKinlay began speaking several young men from the Democratic congregation entered the old vestry and discovered the cache of weapons stored there.  They emerged from the structure and shouted warning to their comrades while McKinlay issued a similar warning to his fellow Republicans.  Seeing armed Democrats emerge from the vestry, many of the Republicans rushed to gather the weapons that they had stored in the nearby woods.  The scene quickly devolved into chaos as both sides feared the worst intentions from the other.  In the opening melee one elderly African American man was shot dead.  After this initial casualty the bulk of the Republican group returned from the woods with their weapons and quickly outflanked the Democrat’s position.  Many of the Democrats on the scene had carried sidearms to the meeting and returned fire, but they were ultimately driven from the field.  Between three and six of the white Democrats fell dead on the field before the firing ceased.  Members of Democratic controlled rifle clubs from Charleston quickly organized and arrived on the scene in force within a few hours.  Tensions remained high, but no more organized fighting took place and a small detachment of U.S. military forces arrived a few days later in order to maintain the tenuous peace.
",http://www.screconstruction.org/Reconstruction/Sites_of_violence/Entries/1876/10/16_Cainhoy_Riot.html,,-79.8537652,32.9302521
Ellenton Riot,"Ellenton, South Carolina",15-Sep-1876,30-100,unknown,"Political Violence: Summary of Mark M. Smith's article on wikipedia; ""A warrant was issued for the arrest of Fred Pope, supposedly Williams' accomplice. A posse of 14 white men was formed the next day. Pope was defended at Rouse's Bridge by armed black men, and the whites retreated. By September 18, it was reported that 500-600 white men from Augusta and Columbia County, Georgia, members of rifle clubs or paramilitary groups, had entered the area. They attacked part of the Port Royal Railroad tracks, tearing up a portion. The white mobs spread out and killed freedmen working in fields, or hunted down or on the street.  The official record of Deputy US Marshalls indicated between 25 and 30 black men were killed; a New York Times reporter in an article stated as many as 100 blacks were killed in the conflicts, which extended to September 21, with several whites wounded. At the trial of some black men in May 1877, numerous witnesses testified that the whites had repeatedly said ""they intended to carry the election [of 1876] if they had to wade in blood up to their saddle girths.""",http://goo.gl/vXor4K,,-81.691808,33.423473
Hamburg Massacre,"Hamburg, South Carolina",4-Jul-1876,"6",unknown,"Political Violence: ""The small town of Hamburg, with its majority black population and strong African American leadership, was an important center of Republican power in Aiken county and a strategic campaign of violence there might help to deliver the election to the Democrats. Killing a few of its leading citizens and dispersing the militia would resonate with other Republicans in the neighborhood and might successfully convince them that an electoral victory might not be worth the high costs. It was the sort of targeted use of violence outlined by Gary in his “Plan of 1876” and it was used to devastating effect in Hamburg that July.""",http://goo.gl/g8wofb,,-81.957893,33.4798589
King Street Riots,"King Street, Charleston, South Carolina",9-Jun-1876,"0",unknown,"On Wednesday September 6, 1876 the Democratic Hampton and Tilden Colored Club of Charleston held a political rally at Archer’s Hall, located at the corner of King and George streets.  J.R. Jenkins, an African American supporter of the gubernatorial ticket headed by General Wade Hampton III, delivered a strongly worded denunciation of the Republican faction.  Following the adjournment of the meeting several Republicans in the audience followed Jenkins, who was protected by a group of white men, north on King street until they reached St. Matthew’s Lutheran Church.  One of the white Democrats fired a pistol into the air in an attempt to disperse the crowd.  Instead, the gunshot drew more African American’s to the scene and fighting commenced.  The black Democrats were placed under the protection of U.S. Army troops who were stationed on the Citadel Green and the white Democrats dispersed.  The mob took control of King street, firing into a street car near Vanderhorst street and looting stores along King street between Warren and Cannon Streets. ",http://www.screconstruction.org/Reconstruction/Sites_of_violence/Entries/1876/9/6_King_Street_Riots.html,,-79.9424328,32.7945724
Yazoo City race riot,"Yazoo City, Mississippi",1-Sep-1875,5+,unknown,Political Violence. White supremacist/Democrat led riot against African Americans and Republicans,http://goo.gl/85lJgj,,-90.4056469,32.8551326
Clinton Massacre,"Clinton, Mississippi",9-Apr-1875,20-50,Unknown,"Political Violence: ""At daybreak, the Vicksburgers, of whom there were 200 commenced slaughtering the negores. All the colored men they could find were shot down. A dozen of more were killed in cold blood...It is estimated that fifty men were killed in this way in the country on Sunday...""",http://goo.gl/8uGrzV,,-90.3217585,32.3415342
Ned Tennant Affair,"Edgefield, South Carolina",1-Jan-1875,8+,Unknown,"Following some minor disturbances in the summer of 1874, more pronounced violence broke out in Edgefield County in early 1875.  Matthew C. Butler, who had served as a major general of the Confederate calvary and was a prominent member of the county’s rifle and sabre clubs, urged the recently elected Reform governor Daniel H. Chamberlain to disarm Edgefield’s African American militia company.  Shortly thereafter an unnamed arsonist destroyed Butler’s home.  The accused perpetrator implicated Ned Tennant, the captain of Edgefield’s black militia company.  A manhunt ensued.  During the search, two African Americans were murdered and sporadic firefights took place between Tennant’s supporters and his pursuers.  Eventually, Tennant surrendered.  Shortly afterwards, Governor Chamberlain ordered the disarming of the militia and the disbanding of all other paramilitary groups in the county.  Tensions remained high; Later that year, following the death of a white woman (Lena Foster), six black men were arrested but were lynched by a mob of several hundred white men who removed them from the sheriff’s office.
",http://www.screconstruction.org/Reconstruction/Sites_of_violence/Entries/1875/1/12_Edgefield_Disturbances_(Ned_Tennant_Affair).html,,-81.9295582,33.7895774
Liberty Place Riot,"New Orleans, Louisiana",14-Sep-1874,"40",unknown,"Political Violence (White League): ""A pitched battle took place in the streets of New Orleans on September 14, 1874. In it, the Democratic-Conservative White League attacked the Republican Metropolitan Police for control of the city and to put an end to Reconstruction in Louisiana.""",http://goo.gl/IOLlNq,,-90.0701156,29.9499323
Coushatta Massacre,"Coushatta, Louisiana",24-Aug-1874,"20",unknown,"Racial and Political Violence: ""After whites murdered African American Republican Thomas Floyd in Brownsville on August 25, tensions in the region mounted. The White League arrested several white Republicans and twenty African Americans, accusing them of planning a “Negro rebellion.” The whites’ rumors of uprising spread, attracting hundreds of heavily armed whites from nearby areas to Coushatta within two days.After being held hostage for days, the white prisoners agreed to resign and to leave the state. While traveling under guard, the prisoners were attacked by heavily armed whites determined to kill the men.  All six were killed.

The violence was not confined to this group; whites in Coushatta and the surrounding area beat, burned, and hanged several African Americans. By the end of the massacre, at least four African Americans and the six white officeholders were dead. Although a handful of men were arrested, no one was ever convicted for the murders.""",https://goo.gl/DLQtF2,,-93.3421165,32.0148834
Austin race riot,"Austin, Mississippi",15-Aug-1874,Unknown,Unknown,"Needs to be verified. ""United States troops were called out and they fired on the Blacks as a matter of course.""",http://goo.gl/7Zl4Ri,,-90.4492675,34.6406573
Vicksburg Riots,"Vicksburg, Mississippi",12-Jul-1874,31+,Unknown,"Political Violence. Democratic sources described it as a battle ""but when we contrast the results of the fights — for there seems to have been several— the whole affair appears more like a massacre than a battle. Thirty-three negroes killed, the Avalanche reports, and only one white man.""",http://goo.gl/4UcNeA,,-90.8777342,32.3528418
